,Day +1,Day +2,Day +7,Day +28,Day +63
MDC,0.8268897666490412,2.1907982350385056,3.6989890975952187,6.159646781278872,11.44012608545589
MHO,0.9124331813071331,2.0856050177232883,4.175203306460466,6.575035918398033,11.558810846074637
TMHC,1.1132771131295511,2.310756340855572,3.0919560431418107,7.127306030801026,11.566960991468317
GOLF,0.5986415817046922,1.8652550499996874,3.2056260638213088,4.795289375632697,6.886117803330625
GRBK,0.8029338245419703,2.962268900813269,5.37158319787317,10.68348779520016,11.212609212102873
SNPO,4.120540825542932,7.756720733949298,13.123114425432414,18.58626094007653,21.411040018764883
MAT,1.2877892825757826,2.305060887345049,3.521761121756783,6.817774821004481,8.677938158788695
PII,0.7189161031048782,1.9736414597362573,3.3429914788462267,6.240318878828823,10.580709232876526
PTON,10.719582482239103,11.193915857316957,15.661037079779968,27.523208832468285,34.74432593587548
HOV,1.5944577919817626,5.260457583976376,9.475393758143785,19.23318897819987,30.15444377829208
SKY,1.4136024809750491,3.237045783966712,5.4457654122306405,7.624711450541064,14.346529000305402
SKX,1.5665148651126737,3.0724386129348527,4.658355384524403,9.085549357391363,12.384701020341236
LOVE,3.7720852944750725,9.796626918220662,13.14567225719893,23.36078350727541,53.191409814159414
CLAR,2.2303156759340528,3.087367497788022,4.783845413379515,6.742189352408997,11.6557190440729
BC,0.9242852455812564,2.490795764032197,3.676289390341437,8.64475404457274,15.278156073116085
UAA,1.042540507280522,2.8634817986654086,4.123110279558532,8.887876418895688,12.225311088191521
BLD,0.6520552316039139,2.545534462516588,4.036587335024485,9.271837359909533,11.05602139141018
TPX,0.8212072115086825,2.4849142527333044,4.113880769682925,8.825552800820335,15.93685955319039
VUZI,3.996408679916855,6.724172354826383,9.987518456837545,18.260687446099993,25.852688510588948
VZIO,7.159105609360772,15.468512901030492,18.861041204583348,10.820415794866856,14.017679791248609
LSEA,0.9820461494478346,3.2731324128192605,2.5127648420278916,7.58361044062472,20.0106704319184
MTH,1.0131324439375242,2.3589051100543617,4.909056901609913,10.15170064223618,13.98593202101004
KTB,0.9837599312252081,1.9286405195613376,5.87876285722632,9.209089651908457,17.10574684190729
JAKK,3.958357286298668,6.854677156889114,8.844179204303865,12.092431504968754,15.793958163989517
PVH,0.8767390000453748,1.6242921216767041,4.698705290879342,6.367224507259728,11.441893549239378
ETD,6.703713616836376,6.272366967491672,8.801185242976718,11.356680987823513,14.363369838736878
CVCO,0.8692695985776016,2.3895961062974362,4.832153715267552,6.592894469191677,9.818302774890734
LGIH,1.1144936363855802,3.008727595177069,4.203637364475343,9.868085937021895,18.29868354738896
JOUT,0.9458294445010438,3.2118753368064072,4.8504905445390865,8.9451603070719,11.549999016041848
