,Day +1,Day +2,Day +7,Day +28,Day +63
2007-10-24,0,-1,-1,-2,5
2008-02-06,0,3,8,10,11
2008-04-27,0,1,7,-5,-24
2008-07-24,-3,-7,-5,3,0
2008-10-23,-8,-12,-12,-40,-3
2009-02-13,-3,-4,-4,17,56
2009-04-24,-2,-6,-1,-12,-8
2009-07-24,0,0,2,0,3
2009-10-23,0,3,0,0,17
2010-02-12,0,1,0,13,20
2010-04-24,0,0,-4,-15,-20
2010-07-23,0,2,-3,-3,10
2010-10-26,-1,-1,0,5,5
2011-02-11,0,0,1,0,0
2011-04-21,0,1,0,7,5
2011-07-21,0,0,-4,-14,-18
2011-10-20,1,3,7,3,10
2012-02-22,0,0,1,5,8
2012-04-26,0,0,2,1,0
2012-07-26,0,2,0,1,7
2012-10-25,0,-1,1,4,0
2013-02-21,0,2,2,7,17
2013-04-25,0,0,-1,0,5
2013-07-25,0,0,4,5,7
2013-10-24,0,2,3,6,6
2014-02-13,0,0,2,4,2
2014-04-24,0,-1,-1,-3,2
2014-07-24,0,0,-1,0,1
2014-10-23,0,1,4,7,15
2015-02-12,0,-1,0,0,0
2015-04-22,7,5,4,4,9
2015-07-23,0,-1,0,-1,-2
2015-10-27,0,2,-1,-4,-6
2016-02-17,0,0,0,5,1
2016-04-28,0,0,3,-3,-5
2016-07-28,0,-1,-2,0,-4
2016-10-27,0,1,1,14,16
2017-02-23,0,0,0,0,6
2017-05-04,0,0,0,-5,-20
2017-08-03,0,2,1,-7,-6
2017-11-02,0,3,3,16,14
2018-02-22,0,1,-2,-1,9
2018-04-26,0,1,0,-3,7
2018-08-01,0,2,0,7,5
2018-10-31,0,1,6,2,-6
2019-02-21,0,-2,-3,-8,1
2019-05-02,0,-1,-5,-13,-12
2019-08-01,0,-5,-7,-14,-8
2019-10-30,0,0,8,4,-7
2020-02-20,0,-2,-14,-54,-56
2020-05-06,1,7,-3,24,5
2021-02-17,3,8,14,26,22
2021-04-28,5,6,5,-4,-7
2021-07-27,-7,-12,-18,-21,-10
2021-11-03,2,5,5,-12,-8
2022-02-16,3,0,-3,-8,-6
2022-04-27,1,2,1,-23,-28
2022-07-27,0,4,3,13,6
2022-11-01,-2,-5,-1,2,0
