,Day +1,Day +2,Day +7,Day +28,Day +63
2013-05-08,-1,0,-3,-3,-2
2013-07-29,0,-1,0,5,1
2013-10-29,0,0,1,3,8
2014-02-18,-1,0,2,-3,-8
2014-04-29,0,0,-2,2,-3
2014-08-03,0,0,-3,0,9
2014-11-02,0,0,0,12,18
2015-02-18,0,1,3,11,9
2015-05-10,0,-2,1,1,8
2015-08-04,0,2,0,-4,-4
2015-11-03,0,-1,-3,-3,-7
2016-02-23,0,2,6,10,3
2016-05-10,0,0,0,-1,-5
2016-08-09,0,0,0,-6,0
2016-11-09,0,6,12,20,26
2017-02-22,1,-2,-1,-2,2
2017-05-10,0,-2,-7,-5,0
2017-08-08,0,-2,-3,-4,0
2017-11-11,0,0,-2,0,6
2018-02-22,1,1,0,-5,-3
2018-05-02,0,-1,-2,1,-10
2018-08-09,0,0,2,3,0
2018-11-08,0,-1,0,-3,-6
2019-02-21,0,1,-1,0,2
2019-05-09,0,0,-1,-10,-13
2019-08-08,1,1,0,7,0
2020-11-10,2,-6,4,43,30
2021-02-25,1,6,19,-13,4
2021-05-06,0,2,-5,16,-2
2021-08-06,-1,0,3,1,5
