,Day +1,Day +2,Day +7,Day +28,Day +63
2008-02-14,0,0,-6,-6,3
2008-05-01,0,-2,-4,3,4
2008-11-03,1,-3,0,0,-15
2009-05-02,0,1,0,1,13
2009-07-30,0,0,2,2,0
2009-10-29,0,1,0,-4,4
2010-02-11,0,1,5,19,24
2010-07-31,0,0,-10,-30,-25
2011-02-17,0,1,3,-1,-9
2011-04-29,0,-1,-1,-2,4
2011-07-28,-1,0,-4,-23,-37
2011-11-03,-1,0,-2,6,9
2012-04-26,0,1,-1,-11,5
2012-07-26,-1,-3,-9,-15,-17
2012-11-09,-4,0,2,22,16
2013-02-14,-1,-2,-2,-2,-11
2013-07-25,-1,0,2,-8,-6
2013-10-31,-4,-3,-4,-5,-10
2014-02-21,-1,0,4,0,-8
2014-05-07,0,0,8,5,1
2014-07-31,3,8,8,16,17
2014-10-30,1,4,9,6,0
2015-02-06,0,-1,-1,-6,-18
2015-05-06,0,3,3,-1,-1
2015-07-29,0,4,3,-2,3
2015-10-28,1,0,-1,7,10
2016-02-04,-1,-4,-8,1,-1
2016-05-04,0,-1,0,4,7
2016-07-27,0,0,0,12,2
2017-02-16,-4,3,1,3,6
2017-05-03,0,-3,-1,-6,-3
2017-07-26,0,-2,0,-3,8
2018-03-02,3,4,12,12,17
2018-05-02,0,-3,-6,-1,6
2018-08-01,-1,-4,-5,5,2
2018-11-12,0,0,-6,-15,-24
2019-05-02,0,0,3,8,11
2019-07-31,0,-1,-4,-4,-24
2020-02-28,0,0,0,-14,0
2020-07-29,0,-4,-15,-26,-33
2021-05-01,0,2,0,0,0
