,Day +1,Day +2,Day +7,Day +28,Day +63
2016-05-07,0,1,-2,10,3
2016-08-06,1,4,0,8,16
2016-11-06,3,6,-3,5,2
2017-02-25,0,0,0,0,4
2017-05-11,0,0,-2,-4,-1
2017-08-03,1,1,2,0,2
2017-11-02,0,1,0,-3,-2
2018-02-22,0,0,0,-4,2
2018-05-03,0,0,4,8,3
2018-08-09,-5,0,-4,0,-3
2018-11-09,0,-1,-4,-5,-4
2019-02-21,0,0,3,6,13
2019-05-09,0,0,0,-3,-3
2019-08-08,0,-1,0,3,5
2019-11-02,1,2,4,3,14
2020-02-28,-1,-1,-4,-31,-8
2020-04-30,0,0,0,1,5
2021-02-25,0,0,-9,-7,-3
2021-11-04,0,0,-2,3,8
2022-05-05,0,-3,-17,1,-25
2022-08-04,0,7,12,1,-7
2022-11-03,1,1,-2,-5,-22
