,Day +1,Day +2,Day +7,Day +28,Day +63
2016-11-04,0,0,0,12,41
2017-08-07,-6,-12,-6,-15,-23
2017-11-07,0,0,-1,3,40
2018-03-01,0,-10,-11,-11,-9
2018-05-08,-2,-7,-4,-3,9
2018-08-06,6,-2,-5,-14,-22
2018-11-11,0,-2,-4,-6,3
2019-03-02,0,-7,-5,8,32
2019-05-11,0,1,-3,5,16
2019-08-06,0,0,12,8,11
2019-11-05,0,-10,14,-13,6
2020-03-11,-11,-4,-19,-4,50
2020-05-05,4,18,33,45,55
2021-03-04,29,5,20,15,-13
2021-05-06,0,0,-7,-2,21
2021-08-09,-13,-11,-14,-15,-22
2021-11-09,4,3,18,9,4
2022-02-23,-9,1,1,3,-7
2022-05-03,0,1,-9,-3,2
2022-08-04,-3,-6,-17,-32,-40
2022-11-07,-9,-2,9,0,-12
