,Day +1,Day +2,Day +7,Day +28,Day +63
2009-08-06,1,3,6,0,15
2010-05-09,4,7,9,0,4
2010-08-07,0,-1,-5,-4,1
2010-11-06,0,-5,-6,-4,1
2013-03-07,3,0,2,6,8
2013-08-10,-1,-1,-7,-7,1
2013-11-09,0,0,5,10,20
2014-03-06,0,0,2,6,-6
2014-08-07,0,4,2,2,0
2015-03-06,0,-1,4,6,7
2015-05-09,0,0,1,1,11
2015-11-08,0,-3,-6,-4,-3
2016-03-03,0,-5,-4,-8,-3
2016-05-07,0,2,0,4,10
2016-08-06,0,-1,0,3,4
2017-03-16,0,-2,-8,-7,-10
2017-08-07,0,0,-1,-5,0
2017-11-04,0,0,2,9,8
2018-03-08,0,3,0,1,11
2018-05-05,0,0,1,4,11
2018-08-05,0,0,-2,6,-2
2018-11-04,0,1,2,5,-4
2019-03-07,1,2,4,0,9
2019-05-04,-1,1,1,-3,9
2019-08-10,0,0,2,4,0
2019-11-08,0,0,-1,0,1
2020-02-27,-3,2,3,-38,-29
2020-05-21,0,2,-1,2,8
2021-02-27,1,0,-3,-6,-1
2021-05-08,0,-2,-1,1,-3
2021-11-06,0,-3,-5,-17,-13
2022-11-05,0,3,1,6,3
