,Day +1,Day +2,Day +7,Day +28,Day +63
SPB,0.5501045493923269,1.0855849328434644,2.3165390378024875,3.6799237471374346,6.20148873562399
ENR,0.36120597155021095,0.8609557259165755,1.1404125548473394,2.3244824808527214,4.378935994638305
SKIN,1.1100001335144043,1.7600000699361165,2.3399999936421714,4.220000108083089,4.215000152587891
OLPX,0.12999916076660156,0.3100013732910156,2.059999465942383,0.6299991607666016,5.540000915527344
EPC,0.36036991293492887,1.013189383148538,1.9354445362871753,1.7193347959631926,3.729996376218665
LFMD,0.572857243674142,1.164285659790039,1.2828571115221297,2.825714315686907,2.2842856475285123
IPAR,0.31062874616423863,0.7639382928317819,1.3642408133836426,2.430605514423373,3.4410888628173444
NATR,0.17597101770943424,0.4263937387505425,0.7085915141423923,0.9210194638695315,1.4878199278603985
ODC,0.16232208012370816,0.498329489929677,0.8242575247172337,1.3581144124013689,1.988084249800843
USNA,0.43481132219422536,1.7362260998419996,2.4798112185496204,3.612546974757932,5.538867860470178
HLF,0.5152842375150078,1.0987247234426993,1.850680465422579,3.3159800602197484,4.104564953590733
BRBR,0.3899997075398763,0.7566668192545573,0.8666664759318033,2.123332977294922,2.6533333460489907
COTY,0.16483588661388715,0.4302854874886986,0.8540374466603171,1.2151090985528428,1.7064689790046381
WDFC,5.01916753189564,5.320121635500351,5.928790542699531,6.98288233801969,10.524187744626868
REYN,0.4062232167291526,0.5794710340410862,1.238064775211991,1.1607666733626152,2.2774137623235458
CENT,0.28705860586727366,0.7970587225521312,1.1420588493347168,2.117352934444652,3.3352940924027386
ELF,0.894000244140625,1.2640002727508546,1.8100000858306884,2.9450002193450926,3.7830002307891846
NUS,0.37719123914838104,1.1875681067254495,1.6484167174793443,3.1648942394451742,5.536784228967006
MED,2.258566987325264,3.4806302090117542,5.743013519205785,9.77383679009584,13.280285375838202
