,Day +1,Day +2,Day +7,Day +28,Day +63
2009-11-10,-1,-6,-8,-23,-3
2012-08-10,0,7,1,22,53
2012-11-06,-1,-4,-12,106,106
2013-03-13,1,4,9,82,116
2013-05-08,0,2,13,30,58
2013-08-07,0,-3,-1,0,1
2013-11-07,0,4,14,18,11
2014-02-28,-3,1,-1,-18,-31
2014-05-07,0,-2,1,14,15
2014-08-06,0,-2,0,26,18
2014-11-11,0,-1,-1,19,16
2015-02-27,0,0,2,-19,-6
2015-05-08,0,0,3,11,18
2015-08-07,0,-1,-3,0,-16
2015-11-06,0,-4,-5,-2,-25
2016-02-29,1,11,21,37,84
2016-05-08,0,6,0,33,24
2016-08-05,0,-7,-13,-11,-25
2016-11-08,4,10,7,2,18
2017-03-01,0,-2,-1,-2,-10
2017-05-10,0,0,-4,-12,-3
2017-08-09,0,-8,-3,6,6
2017-11-11,0,-4,-3,6,-1
2018-02-28,1,-8,0,-8,-32
2018-05-04,0,3,1,3,-6
2018-08-09,0,6,0,0,53
2018-11-08,0,-1,-9,-6,10
2019-02-27,0,4,5,5,-9
2019-05-03,-3,0,-2,-9,0
2019-08-01,0,-1,1,-1,34
2019-10-31,1,1,-3,10,0
2020-02-27,-3,9,11,-1,21
2020-05-08,-1,1,-6,-10,3
2021-02-24,0,-2,-3,-46,-56
2021-05-05,0,7,7,16,22
2021-08-04,-6,-8,-11,-16,-19
2021-11-08,6,10,6,11,15
2022-02-28,-4,-1,-5,5,-22
2022-05-04,-1,-6,-16,-18,-21
2022-08-08,0,0,-1,0,-3
2022-11-02,-2,-10,-4,-2,7
