,Day +1,Day +2,Day +7,Day +28,Day +63
2015-08-08,0,-5,-7,-12,5
2015-11-07,0,-2,-1,1,-4
2016-02-05,-1,-6,1,17,5
2016-05-11,1,0,0,25,24
2016-08-03,0,2,4,7,9
2016-11-08,-1,2,-3,-11,-8
2017-02-08,0,0,-2,3,7
2017-05-13,0,3,-3,-6,10
2017-08-04,0,-2,-5,4,12
2017-11-08,-1,-3,0,5,12
2018-02-07,0,-1,2,16,16
2018-05-09,0,0,0,21,24
2018-08-08,0,1,0,-4,-21
2018-11-07,0,-4,-12,-11,-8
2019-02-07,0,3,3,0,-1
2019-05-15,0,-1,-3,-4,-12
2019-08-06,-27,-28,-24,-32,-26
2019-11-05,-6,-1,-1,2,2
2020-02-04,-12,-10,-12,-23,-35
2020-05-14,12,13,6,18,11
2020-08-04,-23,-23,-27,-16,-18
2020-11-05,-13,-14,-14,-6,13
2021-02-04,-17,-15,-16,-29,-19
2021-05-13,-6,3,5,18,12
2021-08-03,3,16,15,17,6
2021-11-08,31,38,33,15,18
2022-02-08,-23,-30,-34,-43,-35
2022-05-12,-12,-3,-9,1,9
2022-08-04,2,9,12,-2,-4
2022-11-08,0,10,18,4,11
