,Day +1,Day +2,Day +7,Day +28,Day +63
2006-03-02,0,0,-1,16,-8
2006-06-02,0,-2,-4,-3,-21
2006-08-31,0,1,-5,-4,-18
2006-12-14,0,3,2,8,14
2007-03-01,0,-5,-4,0,7
2007-05-31,0,0,-2,4,8
2007-09-25,0,-1,4,22,11
2007-12-13,0,-4,-4,-22,-28
2008-03-07,-3,-2,6,18,16
2008-06-05,1,0,-3,-17,-41
2008-09-04,-1,-3,-13,-25,-35
2008-12-11,-1,10,14,33,-3
2009-03-05,2,0,13,41,90
2009-06-04,2,-8,-7,-12,0
2009-09-03,1,6,20,13,-9
2009-12-10,1,-4,-6,2,23
2010-06-09,2,0,3,-5,-10
2010-12-09,0,5,6,31,54
2011-03-07,1,-5,-4,-2,4
2011-06-08,0,-7,-7,-12,-42
2011-09-01,-1,-10,-12,-21,-7
2011-12-08,0,0,-9,13,37
2012-03-07,3,4,11,17,-10
2012-05-31,-1,-5,3,14,16
2012-08-30,1,1,6,2,-1
2012-12-13,-2,-1,0,-7,3
2013-03-07,0,-1,-3,-15,-13
2013-08-07,0,-1,-1,1,12
2013-10-30,0,-1,-1,-6,0
2014-02-12,0,6,13,4,-13
2014-05-06,0,0,3,0,10
2014-08-11,0,-2,-2,-1,-26
2014-11-06,0,-2,-7,0,19
2015-02-19,0,0,3,3,9
2015-03-05,1,2,1,-7,5
2015-06-04,1,1,2,-1,-3
2015-09-03,-2,0,-3,-9,6
2015-12-10,0,-1,-2,-8,-3
2016-03-04,0,-1,0,9,-5
2016-06-02,0,4,7,-6,0
2016-09-01,-1,-1,-3,-5,-17
2016-12-08,0,0,-4,-3,2
2017-03-08,0,-1,-4,-4,-1
2017-06-01,0,0,-2,-4,-6
2017-08-31,0,1,0,2,-7
2017-12-07,-1,0,3,4,6
2018-03-06,0,3,5,-3,4
2018-05-31,0,1,6,11,10
2018-08-30,0,2,1,0,3
2018-12-13,-1,-1,-5,4,19
2019-03-05,0,-1,-1,-6,-11
2019-06-06,0,0,-5,-5,-4
2019-09-05,0,0,2,-6,-6
2019-12-12,0,-2,-4,-1,1
2020-03-05,-3,-8,-17,-5,10
2020-06-04,1,0,0,0,12
2020-09-03,0,-4,-10,-14,-8
