,Day +1,Day +2,Day +7,Day +28,Day +63
2010-07-27,0,-5,-4,-19,-6
2010-10-27,0,-4,-3,-5,5
2013-01-29,0,-1,-2,-2,-4
2013-04-24,0,-1,-3,6,24
2013-07-23,0,0,1,-1,4
2013-10-29,0,0,0,-5,4
2014-02-07,0,-3,0,9,5
2014-04-29,0,0,1,-1,5
2014-07-29,0,-2,-1,0,-11
2014-10-28,0,0,3,0,0
2015-02-06,0,1,1,4,4
2015-04-29,0,-1,0,3,6
2015-07-28,-1,0,0,-1,-1
2015-10-27,0,3,5,7,4
2016-07-29,0,0,0,1,-3
2016-10-28,0,4,0,27,28
2017-02-07,0,-1,0,-5,-11
2017-05-01,0,-2,-2,-5,0
2017-07-30,0,0,1,0,9
2017-10-26,0,1,3,4,-1
2018-02-06,0,0,-3,-2,8
2018-04-26,0,0,2,7,20
2018-07-29,0,-1,0,-1,-2
2018-10-25,-1,2,0,6,-5
2019-02-05,0,-1,1,5,3
2019-04-28,0,0,0,-7,-5
2019-07-27,0,-2,-2,-9,0
2019-10-24,0,0,-1,-4,5
2020-02-04,0,0,-4,-11,-20
2020-04-23,0,-3,5,-7,-14
2021-05-01,0,-2,0,18,13
2021-07-27,1,3,4,5,-5
