,Day +1,Day +2,Day +7,Day +28,Day +63
2007-11-02,-1,3,3,-2,11
2008-02-21,0,1,11,4,17
2008-05-25,0,3,5,5,0
2008-07-31,1,1,4,13,-12
2008-11-12,0,5,-5,33,42
2009-02-19,-2,1,4,0,1
2009-04-30,0,1,9,19,15
2009-07-30,0,1,0,3,15
2009-10-29,-1,-1,1,-2,11
2010-02-18,-1,-1,-2,4,14
2010-04-29,0,-1,-5,-19,-25
2010-07-29,0,3,-3,-11,-1
2010-10-28,0,0,0,-3,-8
2011-02-17,0,0,0,-9,-4
2011-04-28,0,0,-2,-2,-11
2011-07-28,0,1,0,-12,-27
2011-10-26,2,4,3,-7,2
2012-02-16,-1,-3,-5,-2,-9
2012-04-26,0,-3,-4,-17,-6
2012-08-02,1,0,0,4,5
2012-11-01,0,0,0,9,12
2013-02-14,-1,0,-2,5,-1
2013-04-26,0,-2,0,5,6
2013-08-01,0,-1,-1,-8,4
2013-10-31,0,-2,1,0,-3
2014-02-13,4,6,4,3,6
2014-04-25,0,-4,-4,-3,1
2014-08-05,5,8,8,15,5
2014-11-05,0,0,0,1,0
2015-02-12,0,0,-1,0,2
2015-05-05,0,0,0,2,-8
2015-11-04,-1,0,0,1,-8
2016-02-18,0,0,1,0,4
2016-09-02,0,0,0,3,10
2016-11-03,-1,1,2,9,6
2017-03-01,0,-3,-2,-1,7
2017-05-04,0,-2,0,4,3
2017-08-03,0,0,0,0,7
2017-11-02,0,4,0,-3,5
2018-03-01,0,0,0,-5,-12
2018-05-15,0,-4,-3,-5,-4
2018-08-07,0,-1,-4,2,-9
2018-11-06,0,3,2,0,0
2019-02-28,0,-3,-6,-12,-1
2019-05-07,0,-6,-11,-8,-5
2019-08-06,-3,-1,-1,2,5
2019-11-05,0,0,-2,1,6
2020-02-25,0,-5,2,-31,-6
2020-08-04,1,1,0,-10,-1
2021-08-07,-1,2,7,8,-6
2021-11-06,-2,-3,-9,-21,-18
