,Day +1,Day +2,Day +7,Day +28,Day +63
2006-11-09,0,0,0,8,17
2007-02-21,0,0,-1,3,8
2008-04-08,0,-1,-4,9,7
2008-05-07,2,0,6,6,-60
2008-11-07,5,-11,-39,-57,-48
2009-05-07,-1,13,-12,39,71
2009-08-05,2,0,7,-6,30
2009-11-03,2,-1,9,6,37
2010-02-18,0,-1,-14,-3,29
2010-05-04,-5,-6,-12,-19,-31
2010-08-05,0,0,-8,-10,0
2010-11-04,0,4,3,9,9
2011-02-17,-1,-3,-8,-4,15
2011-05-05,1,0,0,-8,-6
2011-08-05,-4,-9,-5,-6,-19
2011-11-03,-1,2,-1,-9,-12
2012-02-16,0,3,3,12,-3
2012-05-07,0,-2,-4,-21,-9
2012-08-03,0,2,2,8,9
2012-11-09,0,1,-3,14,26
2013-02-14,0,-1,-6,14,15
2013-05-02,1,3,6,13,12
2013-08-07,0,0,-1,-5,-1
2013-10-31,0,0,0,17,28
2014-02-20,0,3,7,10,23
2014-05-08,0,0,6,12,17
2014-08-05,0,0,5,13,-16
2014-11-01,0,0,3,7,16
2015-02-19,-1,-3,-6,-7,-12
2015-05-05,0,-2,-1,-3,-20
2015-08-04,0,-2,-3,-5,3
2015-11-03,0,-2,-7,-18,-31
2016-02-24,0,8,21,30,13
2016-05-04,0,0,5,20,26
2016-08-03,0,4,4,-2,-8
2016-11-03,0,5,0,6,-3
2017-02-16,-1,-5,-7,-4,-16
2017-05-04,0,-2,-12,-22,-3
2017-08-08,0,5,16,16,33
2017-11-07,0,0,-5,11,36
2018-02-22,2,3,2,10,9
2018-05-03,0,2,-3,-9,-22
2018-08-08,1,3,5,-4,-6
2018-11-06,1,10,6,-7,-13
2019-02-21,0,3,3,0,4
2019-05-02,1,0,-5,-21,-3
2019-08-06,-1,-6,-12,-27,-23
2019-11-01,1,3,6,6,19
2020-02-20,-1,-9,-31,-84,-76
2020-05-05,0,-7,-4,76,107
