,Day +1,Day +2,Day +7,Day +28,Day +63
2015-08-05,1,1,-4,-25,-53
2015-11-06,-3,-11,-12,-17,-41
2016-03-11,8,5,-10,-32,-40
2016-05-10,1,0,-18,-13,11
2016-08-04,0,3,0,-8,16
2016-11-05,-1,0,30,49,40
2017-03-02,1,0,-11,5,-16
2017-05-09,6,0,-5,-9,-6
2017-08-11,1,6,2,14,3
2017-11-04,0,4,-2,3,16
2018-02-28,0,0,7,7,19
2018-05-09,0,-1,0,4,-14
2018-08-09,0,-3,-9,-10,-7
2018-11-08,-1,1,-13,-21,-20
2019-03-05,1,-2,-4,-9,1
2019-05-10,-3,-6,-7,-14,17
2019-08-08,-1,-4,-5,19,24
2019-11-07,0,2,0,-6,-8
2020-02-26,0,3,3,-31,-18
2020-05-09,-2,-9,-14,29,10
2021-02-25,3,2,8,-4,39
2021-05-09,1,-4,-5,-3,12
2021-08-07,0,-2,4,14,11
