,Day +1,Day +2,Day +7,Day +28,Day +63
2009-07-28,0,1,0,13,29
2012-10-24,1,1,4,3,17
2013-01-29,-7,-12,-16,-13,-19
2013-04-24,0,0,2,2,9
2013-07-24,0,4,8,2,10
2013-10-23,0,2,8,6,21
2014-01-29,1,0,-5,19,42
2014-04-23,2,1,-3,0,-3
2014-07-23,1,-7,-3,6,-6
2014-10-22,0,1,9,20,57
2015-01-30,2,-1,-3,-4,8
2015-04-24,1,0,-1,5,0
2015-07-29,-2,2,8,8,16
2015-10-20,0,5,12,12,19
2016-01-27,2,-3,-4,19,27
2016-04-22,0,0,-1,-5,-18
2016-07-22,1,0,0,-2,1
2016-10-19,0,0,-4,-2,25
2017-01-25,0,1,-1,-3,-9
2017-04-21,2,3,2,-3,-11
2017-07-26,0,0,0,2,-8
2017-10-20,0,-7,-18,-7,-1
2018-01-30,0,-5,-10,-4,4
2018-04-25,0,0,0,-6,-13
2018-07-25,0,0,0,9,0
2018-10-24,0,5,13,16,-17
2019-01-30,0,4,-1,-4,-10
2019-04-24,0,-4,0,-5,-6
2019-07-31,1,0,-2,-9,0
2019-10-23,1,-2,0,9,9
2020-01-31,1,1,2,-25,-64
2020-05-06,0,3,-1,52,9
2021-01-26,-1,3,-2,33,33
2021-04-27,0,0,0,1,-2
2021-10-26,-1,-9,-2,0,-10
2022-01-25,0,-7,-6,5,3
2022-04-26,-2,-6,-8,-13,-24
2022-07-26,-1,-3,1,0,-7
2022-10-25,-7,-5,-3,-8,-36
