,Day +1,Day +2,Day +7,Day +28,Day +63
2008-11-25,9,10,1,10,7
2009-05-28,0,0,-1,-27,-27
2009-08-13,3,3,1,9,5
2009-11-24,0,-4,-5,-12,-24
2010-02-24,-1,2,4,4,7
2010-05-20,0,2,4,4,0
2010-08-11,0,0,2,2,-1
2010-11-18,0,-1,-5,-8,-11
2011-02-23,0,1,0,-3,-10
2011-05-13,0,-2,-6,-11,-29
2011-08-10,2,7,11,0,-5
2011-11-09,1,0,-1,-17,-27
2012-02-16,-2,0,0,-7,-7
2012-05-31,-7,-2,-7,-8,-30
2012-08-29,0,-1,-1,11,-3
2012-11-30,0,-4,-5,-12,-6
2013-03-19,-2,-3,8,-1,-4
2013-05-28,0,2,-2,-6,5
2013-08-27,5,8,7,25,2
2013-11-26,0,6,8,50,36
2014-03-06,-3,0,-4,-5,-26
2014-05-29,0,-2,0,21,-1
2014-08-20,1,0,-2,-2,-22
2014-12-02,4,21,0,-5,-32
2015-03-20,-1,5,7,14,-5
2015-07-01,0,1,-1,8,-13
2015-08-31,0,2,0,-8,-33
2015-11-18,-5,5,-5,-29,-57
2016-03-01,0,-3,56,9,37
2016-11-22,-1,-3,0,-11,63
2017-02-23,0,0,6,1,7
2017-05-25,4,5,7,12,22
2017-08-11,2,3,6,10,-1
2017-11-21,0,2,2,17,24
2018-02-28,0,-1,0,-7,-1
2018-06-12,0,3,6,-1,-3
2018-08-08,0,-3,-5,-10,-2
2018-11-22,0,7,13,1,-14
2019-02-12,0,-2,-2,-13,1
2019-05-23,-1,5,1,16,43
2019-08-08,0,-1,-1,14,21
2019-11-21,1,0,0,6,-20
2020-02-20,0,-6,-14,-36,-39
2020-05-27,1,-2,7,37,36
2020-08-07,0,2,3,-5,2
2021-05-20,1,2,-8,3,-11
2021-08-06,0,-5,5,22,18
2021-11-17,1,4,2,6,4
2022-02-17,0,-2,0,-2,-6
