,Day +1,Day +2,Day +7,Day +28,Day +63
2012-08-10,0,3,4,3,-15
2012-11-06,0,0,0,16,23
2013-03-01,0,-2,0,-1,-4
2013-05-08,0,0,4,-1,14
2013-08-01,0,0,-9,-8,-14
2013-11-05,0,-3,-3,9,41
2014-02-25,1,1,3,-4,-11
2014-05-02,0,-2,-12,-4,4
2014-07-30,-1,-1,-1,-1,17
2014-11-06,0,0,-2,0,0
2015-02-19,0,1,6,10,4
2015-05-05,0,-2,-1,1,-10
2015-08-06,0,-3,-8,-18,-29
2015-11-05,0,7,1,-6,-27
2016-02-25,-1,-3,-5,18,20
2016-05-04,2,-6,0,2,-10
2016-08-04,2,11,9,8,11
2016-11-03,0,2,7,29,24
2017-02-22,1,0,5,-5,2
2017-05-04,0,3,3,2,20
2017-08-04,0,0,-5,6,16
2017-11-02,1,3,1,10,29
2018-02-08,1,2,10,19,17
2018-05-03,0,2,6,6,1
2018-08-02,0,0,3,6,11
2018-11-01,2,0,0,-12,-30
2019-02-15,-1,5,0,-4,28
2019-05-02,1,-2,-3,-20,-12
2019-08-02,-2,-5,-2,-2,-3
2019-10-29,0,-3,1,3,-2
2020-02-11,0,1,6,-32,-37
2020-05-05,0,-2,0,17,14
2021-05-04,2,2,2,6,-3
